iata,name,city,country,lat,lon,timezone
ATH,Athens International Airport,Athens,Greece,37.9364,23.9445,Europe/Athens
CRL,Brussels South Charleroi Airport,Charleroi,Belgium,50.4592,4.4525,Europe/Brussels
HHN,Frankfurt-Hahn Airport,Hahn,Germany,49.9487,7.2639,Europe/Berlin
AHO,Alghero,Alghero,Italy,40.6321,8.29077,Europe/Rome
ARN,Stockholm Arlanda,Stockholm,Sweden,59.6498,17.9239,Europe/Stockholm
BGY,Milan Bergamo,Milan,Italy,45.6739,9.70417,Europe/Rome
BLQ,Bologna,Bologna,Italy,44.5354,11.2887,Europe/Rome
BOJ,Burgas,Burgas,Bulgaria,42.301,27.2812,Europe/Sofia
BRI,Bari,Bari,Italy,41.1389,16.7606,Europe/Rome
BTS,Bratislava,Bratislava,Slovakia,48.1702,17.2127,Europe/Bratislava
CFU,Corfu,Corfu,Greece,39.6019,19.9117,Europe/Athens
CHQ,Chania,Chania,Greece,35.5317,24.1497,Europe/Athens
CTA,Catania,Catania,Italy,37.4668,15.0664,Europe/Rome
EIN,Eindhoven,Eindhoven,Netherlands,51.4501,5.37453,Europe/Amsterdam
FAO,Faro,Faro,Portugal,37.0144,-7.96591,Europe/Lisbon
GLA,Glasgow,Glasgow,United Kingdom,55.87194,-4.43306,Europe/London
HEL,Helsinki,Helsinki,Finland,60.3172,24.9633,Europe/Helsinki
LBA,Leeds Bradford,Leeds,United Kingdom,53.8659,-1.66057,Europe/London
MAD,Madrid,Madrid,Spain,40.4722,-3.5608,Europe/Madrid
MMX,Malmo,Malmo,Sweden,55.5363,13.3762,Europe/Stockholm
NAP,Naples,Naples,Italy,40.8844,14.2908,Europe/Rome
PFO,Paphos,Paphos,Cyprus,34.718,32.4857,Asia/Nicosia
PMO,Palermo,Palermo,Italy,38.176,13.091,Europe/Rome
PSA,Pisa,Pisa,Italy,43.6839,10.3927,Europe/Rome
RHO,Rhodes,Rhodes,Greece,36.4054,28.0862,Europe/Athens
SKG,Thessaloniki,Thessaloniki,Greece,40.5197,22.9709,Europe/Athens
SNN,Shannon,Shannon,Ireland,52.702,-8.92482,Europe/Dublin
SUF,Lamezia,Lamezia,Italy,38.9054,16.2423,Europe/Rome
SVQ,Seville,Seville,Spain,37.418,-5.89311,Europe/Madrid
TFS,Tenerife South,Tenerife,Spain,28.0445,-16.5725,Atlantic/Canary
TRN,Turin,Turin,Italy,45.2008,7.64963,Europe/Rome
TSF,Venice Treviso,Venice,Italy,45.6484,12.1944,Europe/Rome
VCE,Venice M.Polo,Venice,Italy,45.5053,12.3519,Europe/Rome
VIE,Vienna,Vienna,Austria,48.123,16.2221,Europe/Vienna
ZAD,Zadar,Zadar,Croatia,44.1083,15.3467,Europe/Zagreb
ZTH,Zakynthos,Zakynthos,Greece,37.7509,20.8843,Europe/Athens
AAR,Aarhus,Aarhus,Denmark,56.3,10.619,Europe/Copenhagen
ABZ,Aberdeen,Aberdeen,United Kingdom,57.2019,-2.19778,Europe/London
AGA,Agadir,Agadir,Morocco,30.325,-9.41307,Africa/Casablanca
AOI,Ancona,Ancona,Italy,43.6163,13.3623,Europe/Rome
BBU,Bucharest Baneasa ,Bucharest,Romania,44.502164658,26.102166258,Europe/Bucharest
BDS,Brindisi,Brindisi,Italy,40.6576,17.947,Europe/Rome
BFS,Belfast International,Belfast,United Kingdom,54.6575,-6.2158,Europe/London
CAG,Cagliari,Cagliari,Italy,39.2515,9.05428,Europe/Rome
CDT,Castellon (Valencia),Castellon,Spain,39.999,0.026,Europe/Madrid
DBV,Dubrovnik,Dubrovnik,Croatia,42.5614,18.2683,Europe/Zagreb
FMM,Memmingen,Memmingen,Germany,47.9888,10.2395,Europe/Berlin
FUE,Fuerteventura,Fuerteventura,Spain,28.4527,-13.8638,Atlantic/Canary
GOT,Göteborg Landvetter,Gothenburg,Sweden,57.6741,12.2925,Europe/Stockholm
GRO,Barcelona Girona,Girona,Spain,41.901,2.76055,Europe/Madrid
HAM,Hamburg,Hamburg,Germany,53.63028,9.99111,Europe/Berlin
JTR,Santorini,Santorini,Greece,36.3992,25.4793,Europe/Athens
LDE,Lourdes–Pyrenees,Lourdes,France,43.1787,-0.006439,Europe/Paris
LPA,Gran Canaria,Gran Canaria,Spain,27.9319,-15.3866,Atlantic/Canary
MRS,Marseille,Marseille,France,43.4393,5.22142,Europe/Paris
NCL,Newcastle,Newcastle,United Kingdom,55.0375,-1.69167,Europe/London
OLB,Olbia,Olbia,Italy,40.8987,9.51763,Europe/Rome
PEG,Perugia,Perugia,Italy,43.0959,12.5132,Europe/Rome
PRG,Prague,Prague,Czech Republic,50.1008,14.26,Europe/Prague
PSR,Pescara,Pescara,Italy,42.4317,14.1811,Europe/Rome
PUY,Pula,Pula,Croatia,44.8935,13.9222,Europe/Zagreb
RAK,Marrakesh,Marrakesh,Morocco,31.6069,-8.0363,Africa/Casablanca
RBA,Rabat,Rabat,Morocco,34.0515,-6.75152,Africa/Casablanca
REG,Reggio Calabria,Reggio Calabria,Italy,38.0641,15.3943,Europe/Rome
RJK,Rijeka,Rijeka,Croatia,45.2169,14.5703,Europe/Zagreb
RMI,Rimini,Rimini,Italy,44.0203,12.6117,Europe/Rome
SFT,Skelleftea,Skelleftea,Sweden,64.6248,21.0769,Europe/Stockholm
SZZ,Szczecin,Szczecin,Poland,53.5847,14.9022,Europe/Warsaw
TGD,Podgorica,Podgorica,Montenegro,42.3594,19.2519,Europe/Podgorica
TLS,Toulouse,Toulouse,France,43.3616,1.2638,Europe/Paris
TPS,Trapani-Marsala,Trapani,Italy,37.9114,12.488,Europe/Rome
TRF,Oslo Torp,Sandefjord,Norway,59.1867,10.2586,Europe/Oslo
TRS,Trieste,Trieste,Italy,45.8275,13.4722,Europe/Rome
VAR,Varna,Varna,Bulgaria,43.13,27.55,Europe/Sofia
VXO,Växjö Småland,Växjö,Sweden,56.9291,14.728,Europe/Stockholm
BZG,Bydgoszcz,Bydgoszcz,Poland,53.0968,17.9777,Europe/Warsaw
AMS,Amsterdam Schiphol,Amsterdam,Netherlands,52.3105,4.7683,Europe/Amsterdam
ORY,Paris Orly,Paris,France,48.7233,2.3794,Europe/Paris
RTM,Rotterdam The Hague,Rotterdam,Netherlands,51.9569,4.4372,Europe/Amsterdam
NTE,Nantes Atlantique,Nantes,France,47.1532,-1.6107,Europe/Paris
LYS,Lyon Saint-Exupery,Lyon,France,45.7256,5.0811,Europe/Paris
MPL,Montpellier Mediterranee,Montpellier,France,43.5762,3.963,Europe/Paris
BRU,Brussels,Brussels,Belgium,50.9014,4.4844,Europe/Brussels
AES,Alesund,Alesund,Norway,62.5625,6.1053,Europe/Oslo
ALY,Alexandria,Alexandria,Egypt,30.9178,29.6964,Africa/Cairo
AYT,Antalya,Antalya,Türkiye,36.8986,30.8006,Europe/Istanbul
BCM,Bacau,Bacau,Romania,46.5986,26.8819,Europe/Bucharest
BER,Berlin Brandenburg,Berlin Brandenburg,Germany,52.3667,13.5033,Europe/Berlin
BIO,Bilbao,Bilbao,Spain,43.3011,-2.9106,Europe/Madrid
BLL,Billund,Billund,Denmark,55.7403,9.1517,Europe/Copenhagen
BNX,Banja Luka,Banja Luka,Bosnia and Herzegovina,44.9333,17.3,Europe/Sarajevo
BOD,Bordeaux,Bordeaux,France,44.8286,-0.7153,Europe/Paris
BSL,Basel-Mulhouse-Freiburg,Basel-Mulhouse-Freiburg,Switzerland,47.6011,7.5217,Europe/Zurich
CGN,Cologne,Cologne,Germany,50.8658,7.1428,Europe/Berlin
CIY,Comiso (Sicily),Comiso (Sicily),Italy,36.9947,14.6069,Europe/Rome
CND,Constanta,Constanta,Romania,44.35,28.4833,Europe/Bucharest
CRA,Craiova,Craiova,Romania,44.3181,23.8886,Europe/Bucharest
DEB,Debrecen,Debrecen,Hungary,47.55,21.7,Europe/Budapest
DLM,Dalaman,Dalaman,Türkiye,36.7131,28.7925,Europe/Istanbul
DTM,Dortmund,Dortmund,Germany,51.5183,7.6122,Europe/Berlin
EFL,Kefalonia,Kefalonia,Greece,38.12,20.5006,Europe/Athens
ESB,Ankara,Ankara,Türkiye,40.1281,32.995,Europe/Istanbul
EVN,Yerevan,Yerevan,Armenia,40.1472,44.3958,Asia/Yerevan
FDH,Friedrichshafen,Friedrichshafen,Germany,47.6714,9.5114,Europe/Berlin
FKB,Karlsruhe/Baden-Baden,Karlsruhe/Baden-Baden,Germany,48.7794,8.0806,Europe/Berlin
FNC,Funchal (Madeira),Funchal (Madeira),Portugal,32.6942,-16.7781,Atlantic/Madeira
GHV,Brasov,Brasov,Romania,45.7017,25.52,Europe/Bucharest
GNB,Grenoble,Grenoble,France,45.3631,5.3328,Europe/Paris
GOA,Genoa,Genoa,Italy,44.4131,8.8378,Europe/Rome
GRX,Granada,Granada,Spain,37.1886,-3.7772,Europe/Madrid
GYD,Baku,Baku,Azerbaijan,40.4675,50.0467,Asia/Baku
HAU,Haugesund,Haugesund,Norway,59.3453,5.2083,Europe/Oslo
HBE,Alexandria (Borg El Arab),Alexandria (Borg El Arab),Egypt,30.9178,29.6964,Africa/Cairo
HER,Heraklion (Crete),Heraklion (Crete),Greece,35.3397,25.1803,Europe/Athens
HRG,Hurghada,Hurghada,Egypt,27.1786,33.8014,Africa/Cairo
IAS,Iasi,Iasi,Romania,47.1786,27.6206,Europe/Bucharest
IBZ,Ibiza,Ibiza,Spain,38.8728,1.3731,Europe/Madrid
INI,Niš,Niš,Serbia,43.3372,21.8536,Europe/Belgrade
IST,Istanbul,Istanbul,Türkiye,41.2706,28.7425,Europe/Istanbul
JED,Jeddah,Jeddah,Saudi Arabia,21.6794,39.1567,Asia/Riyadh
JMK,Mykonos,Mykonos,Greece,37.435,25.3481,Europe/Athens
JSI,Skiathos,Skiathos,Greece,39.1772,23.5036,Europe/Athens
KLX,Kalamata,Kalamata,Greece,37.0683,22.0256,Europe/Athens
KSC,Kosice,Kosice,Slovakia,48.6631,21.2411,Europe/Bratislava
KUT,Kutaisi,Kutaisi,Georgia,42.1767,42.4825,Asia/Tbilisi
LCA,Larnaca,Larnaca,Cyprus,34.875,33.6247,Asia/Nicosia
LEI,Almeria,Almeria,Spain,36.8439,-2.37,Europe/Madrid
LMP,Lampedusa,Lampedusa,Italy,35.5,12.6167,Europe/Rome
LWN,Gyumri,Gyumri,Armenia,40.7503,43.8594,Asia/Yerevan
MAH,Menorca,Menorca,Spain,39.8625,4.2186,Europe/Madrid
MLH,Basel-Mulhouse-Freiburg,Basel-Mulhouse-Freiburg,France,47.6008,7.5292,Europe/Paris
MST,Maastricht,Maastricht,Netherlands,50.9158,5.7769,Europe/Amsterdam
NCE,Nice,Nice,France,43.6653,7.215,Europe/Paris
NUE,Nuremberg,Nuremberg,Germany,49.4986,11.0669,Europe/Berlin
NYO,Stockholm Skavsta,Stockholm Skavsta,Sweden,58.7886,16.9122,Europe/Stockholm
OHD,Ohrid,Ohrid,North Macedonia,41.185,20.7431,Europe/Skopje
OMR,Oradea,Oradea,Romania,47.0253,21.9025,Europe/Bucharest
OVD,Asturias,Asturias,Spain,43.5667,-6.0333,Europe/Madrid
PDV,Plovdiv,Plovdiv,Bulgaria,42.0678,24.8508,Europe/Sofia
PLQ,Palanga – Klaipeda,Palanga – Klaipeda,Lithuania,55.9733,21.0939,Europe/Vilnius
RDO,Warsaw Radom,Warsaw Radom,Poland,51.3886,21.2114,Europe/Warsaw
RMF,Marsa Alam,Marsa Alam,Egypt,25.6333,34.5694,Africa/Cairo
RMO,Chisinau,Chisinau,Moldova,46.9278,28.9308,Europe/Chisinau
SBZ,Sibiu,Sibiu,Romania,45.7856,24.0914,Europe/Bucharest
SCQ,Santiago De Compostela,Santiago De Compostela,Spain,42.8964,-8.4153,Europe/Madrid
SCV,Suceava,Suceava,Romania,47.6894,26.3561,Europe/Bucharest
SDR,Santander,Santander,Spain,43.4269,-3.82,Europe/Madrid
SPX,Cairo (Sphinx),Cairo (Sphinx),Egypt,30.1047,30.8969,Africa/Cairo
SSH,Sharm El Sheikh,Sharm El Sheikh,Egypt,27.85,34.2667,Africa/Cairo
STR,Stuttgart,Stuttgart,Germany,48.69,9.2219,Europe/Berlin
SUJ,Satu Mare,Satu Mare,Romania,47.7,22.8833,Europe/Bucharest
SVG,Stavanger,Stavanger,Norway,58.8797,5.6347,Europe/Oslo
SZY,Olsztyn-Mazury,Olsztyn-Mazury,Poland,53.4806,20.9372,Europe/Warsaw
TAT,Poprad-Tatry,Poprad-Tatry,Slovakia,49.0736,20.2411,Europe/Bratislava
TFN,Tenerife Norte (Canary Islands),Tenerife Norte (Canary Islands),Spain,28.4828,-16.3417,Atlantic/Canary
TGM,Targu Mures,Targu Mures,Romania,46.4678,24.4125,Europe/Bucharest
TKU,Turku,Turku,Finland,60.5142,22.2706,Europe/Helsinki
TOS,Tromso,Tromso,Norway,69.6833,18.9189,Europe/Oslo
TZL,Tuzla,Tuzla,Bosnia and Herzegovina,44.4586,18.7256,Europe/Sarajevo
VRN,Verona,Verona,Italy,45.3964,10.8881,Europe/Rome
ZAZ,Zaragoza,Zaragoza,Spain,41.6661,-1.0417,Europe/Madrid
